sku,week_start,iso_year,iso_week,month,quarter,week_sin,week_cos,units_sold,n_lines,avg_unit_price,units_lag_1,units_lag_2,units_lag_4,units_lag_8,units_lag_12,units_roll_mean_4,units_roll_mean_8,units_roll_std_4,n_lines_lag1,weeks_since_last_sale,sku_matches_part,manufacturer,status,is_project,unit_cost_current,bom_indegree
"(BETA) VOXL2 MIPI BOSON+ Adapters, 55mmSKU: MDK-M0153-1-055",2025-02-24,2025,9,2,1,0.8854560256532099,0.4647231720437686,0.0,0.0,,,,,,,,,,,,0,,,0,,0
"(BETA) VOXL2 MIPI BOSON+ Adapters, 55mmSKU: MDK-M0153-1-055",2025-03-03,2025,10,3,1,0.9350162426854148,0.35460488704253557,0.0,0.0,,0.0,,,,,0.0,0.0,,0.0,,0,,,0,,0
"(BETA) VOXL2 MIPI BOSON+ Adapters, 55mmSKU: MDK-M0153-1-055",2025-03-10,2025,11,3,1,0.970941817426052,0.23931566428755804,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,,0,,,0,,0
"(BETA) VOXL2 MIPI BOSON+ Adapters, 55mmSKU: MDK-M0153-1-055",2025-03-17,2025,12,3,1,0.992708874098054,0.120536680255323,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,,0,,,0,,0
"(BETA) VOXL2 MIPI BOSON+ Adapters, 55mmSKU: MDK-M0153-1-055",2025-03-24,2025,13,3,1,1.0,-1.6081226496766366e-16,0.0,0.0,,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,0,,,0,,0
"(BETA) VOXL2 MIPI BOSON+ Adapters, 55mmSKU: MDK-M0153-1-055",2025-03-31,2025,14,3,1,0.992708874098054,-0.12053668025532288,0.0,0.0,,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,0,,,0,,0
"(BETA) VOXL2 MIPI BOSON+ Adapters, 55mmSKU: MDK-M0153-1-055",2025-04-07,2025,15,4,2,0.9709418174260521,-0.2393156642875575,0.0,0.0,,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,0,,,0,,0
"(BETA) VOXL2 MIPI BOSON+ Adapters, 55mmSKU: MDK-M0153-1-055",2025-04-14,2025,16,4,2,0.9350162426854148,-0.35460488704253545,0.0,0.0,,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,0,,,0,,0
"(BETA) VOXL2 MIPI BOSON+ Adapters, 55mmSKU: MDK-M0153-1-055",2025-04-21,2025,17,4,2,0.8854560256532099,-0.4647231720437685,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0,,,0,,0
"(BETA) VOXL2 MIPI BOSON+ Adapters, 55mmSKU: MDK-M0153-1-055",2025-04-28,2025,18,4,2,0.8229838658936565,-0.5680647467311557,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0,,,0,,0
"(BETA) VOXL2 MIPI BOSON+ Adapters, 55mmSKU: MDK-M0153-1-055",2025-05-05,2025,19,5,2,0.7485107481711013,-0.663122658240795,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0,,,0,,0
"(BETA) VOXL2 MIPI BOSON+ Adapters, 55mmSKU: MDK-M0153-1-055",2025-05-12,2025,20,5,2,0.6631226582407952,-0.7485107481711012,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0,,,0,,0
"(BETA) VOXL2 MIPI BOSON+ Adapters, 55mmSKU: MDK-M0153-1-055",2025-05-19,2025,21,5,2,0.5680647467311558,-0.8229838658936564,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,,,0,,0
"(BETA) VOXL2 MIPI BOSON+ Adapters, 55mmSKU: MDK-M0153-1-055",2025-05-26,2025,22,5,2,0.46472317204376906,-0.8854560256532096,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,,,0,,0
"(BETA) VOXL2 MIPI BOSON+ Adapters, 55mmSKU: MDK-M0153-1-055",2025-06-02,2025,23,6,2,0.35460488704253584,-0.9350162426854147,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,,,0,,0
"(BETA) VOXL2 MIPI BOSON+ Adapters, 55mmSKU: MDK-M0153-1-055",2025-06-09,2025,24,6,2,0.23931566428755768,-0.970941817426052,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,,,0,,0
"(BETA) VOXL2 MIPI BOSON+ Adapters, 55mmSKU: MDK-M0153-1-055",2025-06-16,2025,25,6,2,0.12053668025532308,-0.992708874098054,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,,,0,,0
"(BETA) VOXL2 MIPI BOSON+ Adapters, 55mmSKU: MDK-M0153-1-055",2025-06-23,2025,26,6,2,-3.216245299353273e-16,-1.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,,,0,,0
